Jurisdiction of Occurrence,Week Ending Date,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)"
Delaware,2023,9,397,392,0.0,95.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,43.0,0.0,0.0
District of Columbia,2023,1,527,442,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0
District of Columbia,2023,2,512,417,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0
District of Columbia,2023,3,504,390,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0
District of Columbia,2023,4,591,479,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0
District of Columbia,2023,5,531,438,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0
District of Columbia,2023,6,457,382,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0,0.0,0.0,0.0
District of Columbia,2023,7,561,497,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,87.0,13.0,0.0,0.0
District of Columbia,2023,8,465,423,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,84.0,11.0,0.0,0.0
District of Columbia,2023,9,203,199,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,0.0,0.0,0.0
Florida,2023,1,19938,18102,237.0,3788.0,625.0,515.0,382.0,1016.0,241.0,320.0,338.0,4413.0,1382.0,899.0,629.0
