,Jurisdiction of Occurrence,Week Ending Date,All Cause,Natural Cause,Septicemia,Malignant neoplasms,Diabetes mellitus,Alzheimer disease,Influenza and pneumonia,Chronic lower respiratory diseases,Other diseases of respiratory system,"Nephritis, nephrotic syndrome and nephrosis","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Diseases of heart,Cerebrovascular diseases,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death),Population
510,Idaho,2023-07-29,14.25,12.52,0.0,3.16,0.0,0.71,0.0,0.61,0.0,0.0,0.0,3.16,0.56,0.0,0.0,1964726
511,Idaho,2023-08-05,15.17,13.54,0.0,2.95,0.0,0.76,0.0,0.81,0.0,0.0,0.66,2.95,0.56,0.0,0.0,1964726
512,Idaho,2023-08-12,15.68,13.95,0.0,3.56,0.0,0.61,0.0,0.71,0.0,0.0,0.61,2.85,0.71,0.0,0.0,1964726
513,Idaho,2023-08-19,16.8,15.27,0.0,3.36,0.51,0.71,0.0,1.02,0.0,0.0,1.07,3.16,0.87,0.0,0.0,1964726
514,Idaho,2023-08-26,16.03,14.56,0.0,3.92,0.56,0.87,0.0,0.76,0.0,0.0,0.66,2.44,0.71,0.0,0.0,1964726
515,Idaho,2023-09-02,13.79,12.83,0.0,3.0,0.0,0.76,0.0,1.07,0.0,0.0,0.81,2.44,0.92,0.0,0.0,1964726
516,Idaho,2023-09-09,12.98,12.52,0.0,2.6,0.0,0.56,0.0,0.87,0.0,0.0,0.81,3.05,0.51,0.0,0.0,1964726
517,Idaho,2023-09-16,10.59,10.59,0.0,2.09,0.0,0.66,0.0,0.81,0.0,0.0,0.51,2.24,0.0,0.0,0.0,1964726
518,Illinois,2023-01-07,19.55,17.79,0.37,3.35,0.62,0.73,0.54,0.86,0.24,0.44,0.27,4.29,1.28,0.93,0.62,12549689
519,Illinois,2023-01-14,18.28,16.73,0.33,3.11,0.61,0.75,0.4,0.95,0.26,0.4,0.21,4.02,1.0,0.96,0.6,12549689
520,Illinois,2023-01-21,17.92,16.45,0.24,3.72,0.49,0.68,0.4,0.8,0.27,0.46,0.18,3.69,1.16,0.72,0.49,12549689
521,Illinois,2023-01-28,17.81,16.37,0.3,3.35,0.41,0.8,0.35,0.83,0.24,0.45,0.3,4.09,1.0,0.62,0.43,12549689
522,Illinois,2023-02-04,17.84,16.38,0.37,3.71,0.38,0.62,0.37,0.73,0.3,0.49,0.19,4.0,1.0,0.63,0.45,12549689
523,Illinois,2023-02-11,17.58,16.04,0.25,3.63,0.4,0.73,0.33,0.62,0.18,0.44,0.26,4.01,1.11,0.4,0.29,12549689
524,Illinois,2023-02-18,17.43,15.98,0.32,3.71,0.5,0.65,0.3,0.8,0.23,0.3,0.18,4.06,1.08,0.35,0.22,12549689
525,Illinois,2023-02-25,17.04,15.57,0.37,3.52,0.39,0.51,0.21,0.84,0.24,0.45,0.22,3.48,1.08,0.5,0.33,12549689
526,Illinois,2023-03-04,17.27,15.69,0.31,3.36,0.47,0.59,0.25,0.7,0.25,0.39,0.25,3.96,1.13,0.55,0.37,12549689
527,Illinois,2023-03-11,17.36,15.95,0.24,3.55,0.54,0.53,0.27,0.81,0.36,0.45,0.25,3.79,1.03,0.46,0.35,12549689
528,Illinois,2023-03-18,16.65,15.16,0.34,3.57,0.41,0.57,0.31,0.73,0.18,0.33,0.25,3.8,1.0,0.48,0.35,12549689
529,Illinois,2023-03-25,16.62,15.19,0.3,3.2,0.46,0.44,0.3,0.67,0.19,0.44,0.2,4.1,1.04,0.5,0.35,12549689
530,Illinois,2023-04-01,17.28,15.75,0.29,3.5,0.4,0.61,0.3,0.84,0.28,0.45,0.29,3.82,1.06,0.49,0.31,12549689
531,Illinois,2023-04-08,16.61,15.2,0.2,3.58,0.36,0.57,0.27,0.64,0.27,0.53,0.2,3.79,1.03,0.41,0.22,12549689
532,Illinois,2023-04-15,17.7,16.07,0.27,3.74,0.41,0.6,0.24,0.85,0.22,0.51,0.33,4.11,0.97,0.36,0.2,12549689
533,Illinois,2023-04-22,16.16,14.53,0.29,3.09,0.26,0.64,0.25,0.76,0.18,0.29,0.26,3.74,1.0,0.41,0.33,12549689
534,Illinois,2023-04-29,16.5,15.07,0.33,3.84,0.4,0.53,0.22,0.89,0.23,0.38,0.25,3.39,0.85,0.24,0.13,12549689
535,Illinois,2023-05-06,17.12,15.57,0.23,3.59,0.45,0.49,0.24,0.77,0.31,0.33,0.29,3.98,1.04,0.21,0.12,12549689
536,Illinois,2023-05-13,16.22,14.69,0.28,3.25,0.45,0.5,0.31,0.64,0.32,0.44,0.27,3.6,0.99,0.21,0.15,12549689
537,Illinois,2023-05-20,16.04,14.56,0.27,3.29,0.41,0.57,0.2,0.73,0.31,0.49,0.25,3.58,0.96,0.16,0.11,12549689
538,Illinois,2023-05-27,16.19,14.96,0.22,3.69,0.44,0.37,0.22,0.6,0.23,0.53,0.37,3.77,0.97,0.13,0.09,12549689
539,Illinois,2023-06-03,16.45,14.76,0.36,3.12,0.5,0.53,0.15,0.73,0.17,0.41,0.38,3.69,0.84,0.13,0.0,12549689
540,Illinois,2023-06-10,15.88,14.52,0.23,3.52,0.48,0.51,0.22,0.72,0.25,0.46,0.47,3.31,1.0,0.12,0.11,12549689
541,Illinois,2023-06-17,16.04,14.73,0.24,3.7,0.31,0.54,0.19,0.7,0.18,0.37,0.45,3.74,0.87,0.0,0.0,12549689
542,Illinois,2023-06-24,15.92,14.56,0.24,3.61,0.4,0.5,0.26,0.7,0.21,0.42,0.33,3.31,0.94,0.11,0.09,12549689
543,Illinois,2023-07-01,15.44,14.3,0.25,3.23,0.41,0.58,0.22,0.64,0.22,0.32,0.57,3.66,0.87,0.11,0.0,12549689
544,Illinois,2023-07-08,15.61,14.48,0.26,3.54,0.38,0.59,0.18,0.52,0.14,0.43,0.68,3.62,0.8,0.12,0.08,12549689
545,Illinois,2023-07-15,15.6,14.5,0.23,3.24,0.5,0.56,0.2,0.62,0.25,0.3,0.61,3.63,0.96,0.11,0.0,12549689
546,Illinois,2023-07-22,15.55,14.43,0.33,3.47,0.37,0.57,0.22,0.61,0.25,0.32,0.76,3.1,0.99,0.1,0.0,12549689
547,Illinois,2023-07-29,15.87,14.95,0.18,3.41,0.43,0.45,0.22,0.59,0.25,0.34,1.14,3.54,0.92,0.1,0.08,12549689
548,Illinois,2023-08-05,15.31,14.53,0.18,3.49,0.3,0.49,0.22,0.71,0.26,0.33,1.11,3.39,1.06,0.0,0.0,12549689
549,Illinois,2023-08-12,15.52,14.7,0.28,3.44,0.36,0.53,0.23,0.6,0.2,0.36,1.16,3.39,1.0,0.1,0.0,12549689
550,Illinois,2023-08-19,14.51,13.7,0.23,3.27,0.3,0.58,0.22,0.73,0.3,0.42,0.98,3.08,0.76,0.16,0.13,12549689
551,Illinois,2023-08-26,10.77,10.26,0.17,2.37,0.31,0.38,0.15,0.39,0.12,0.22,1.06,2.11,0.6,0.15,0.14,12549689
552,Illinois,2023-09-02,15.35,14.96,0.19,3.28,0.38,0.45,0.22,0.56,0.17,0.36,1.62,3.56,0.84,0.22,0.12,12549689
553,Illinois,2023-09-09,15.03,14.66,0.32,3.31,0.3,0.53,0.23,0.61,0.14,0.32,1.59,3.26,0.97,0.14,0.1,12549689
554,Illinois,2023-09-16,13.69,13.68,0.18,3.13,0.3,0.43,0.18,0.69,0.14,0.32,1.37,2.86,0.87,0.24,0.16,12549689
555,Indiana,2023-01-07,22.31,20.59,0.31,3.98,0.83,0.76,0.61,1.52,0.25,0.47,0.0,4.66,0.92,1.28,0.92,6862199
556,Indiana,2023-01-14,22.16,20.07,0.16,3.98,0.68,0.57,0.36,1.46,0.36,0.35,0.0,4.78,1.41,0.95,0.66,6862199
557,Indiana,2023-01-21,20.4,19.05,0.32,3.85,0.63,0.66,0.32,1.46,0.35,0.34,0.0,4.63,1.06,0.87,0.57,6862199
558,Indiana,2023-01-28,19.72,17.68,0.28,3.8,0.47,0.66,0.28,1.11,0.39,0.45,0.0,4.04,0.96,0.66,0.44,6862199
559,Indiana,2023-02-04,20.05,18.04,0.31,3.64,0.58,0.52,0.29,1.22,0.52,0.25,0.0,4.53,0.95,0.68,0.41,6862199
560,Indiana,2023-02-11,19.86,18.06,0.25,3.67,0.63,0.83,0.17,1.21,0.32,0.39,0.0,4.37,0.93,0.63,0.32,6862199
561,Indiana,2023-02-18,20.3,18.59,0.22,3.75,0.63,0.61,0.28,1.49,0.32,0.54,0.16,4.12,1.01,0.55,0.31,6862199
562,Indiana,2023-02-25,20.29,18.45,0.17,3.85,0.63,0.58,0.2,1.09,0.31,0.5,0.0,4.69,0.99,0.6,0.31,6862199
563,Indiana,2023-03-04,19.75,18.06,0.28,3.58,0.74,0.55,0.26,1.46,0.47,0.48,0.15,4.53,0.71,0.52,0.38,6862199
564,Indiana,2023-03-11,19.43,17.84,0.25,3.99,0.57,0.74,0.25,1.11,0.23,0.32,0.0,4.08,1.11,0.57,0.38,6862199
565,Indiana,2023-03-18,20.9,19.24,0.29,3.91,0.61,0.71,0.23,1.5,0.44,0.47,0.0,4.42,1.01,0.73,0.44,6862199
566,Indiana,2023-03-25,20.02,18.51,0.31,3.89,0.9,0.55,0.28,1.09,0.36,0.36,0.0,4.43,1.03,0.54,0.32,6862199
567,Indiana,2023-04-01,18.73,16.89,0.19,3.31,0.85,0.63,0.0,1.4,0.23,0.38,0.0,4.27,0.8,0.47,0.35,6862199
568,Indiana,2023-04-08,19.38,17.82,0.26,3.85,0.63,0.47,0.28,1.33,0.47,0.25,0.15,4.18,1.12,0.35,0.17,6862199
569,Indiana,2023-04-15,19.94,17.92,0.47,3.6,0.67,0.68,0.16,1.54,0.45,0.55,0.0,4.47,0.96,0.41,0.28,6862199
570,Indiana,2023-04-22,20.07,18.27,0.2,3.93,0.58,0.64,0.25,1.34,0.25,0.45,0.0,4.42,1.08,0.5,0.32,6862199
571,Indiana,2023-04-29,19.66,17.95,0.32,4.09,0.57,0.73,0.22,1.25,0.5,0.45,0.0,4.39,1.01,0.23,0.17,6862199
572,Indiana,2023-05-06,19.73,18.26,0.34,4.18,0.52,0.71,0.25,1.28,0.41,0.44,0.0,4.4,0.99,0.25,0.0,6862199
573,Indiana,2023-05-13,19.43,17.52,0.26,3.41,0.55,0.51,0.28,1.4,0.36,0.42,0.16,4.52,1.08,0.26,0.19,6862199
574,Indiana,2023-05-20,18.86,17.14,0.16,3.99,0.74,0.51,0.29,1.19,0.34,0.44,0.0,4.26,0.92,0.23,0.0,6862199
575,Indiana,2023-05-27,18.46,16.55,0.28,3.75,0.76,0.42,0.25,1.28,0.28,0.36,0.0,3.96,0.89,0.15,0.0,6862199
576,Indiana,2023-06-03,18.96,17.31,0.29,3.95,0.66,0.42,0.15,1.01,0.26,0.35,0.0,4.68,0.92,0.23,0.17,6862199
577,Indiana,2023-06-10,19.15,17.27,0.22,4.09,0.42,0.51,0.29,1.06,0.42,0.51,0.0,3.93,0.86,0.23,0.0,6862199
578,Indiana,2023-06-17,18.86,17.43,0.34,4.07,0.6,0.51,0.25,1.37,0.31,0.45,0.0,4.11,0.96,0.26,0.15,6862199
579,Indiana,2023-06-24,18.7,16.93,0.23,3.66,0.7,0.44,0.28,1.22,0.22,0.39,0.0,4.31,0.79,0.17,0.0,6862199
580,Indiana,2023-07-01,17.81,16.37,0.23,3.96,0.57,0.82,0.19,1.27,0.48,0.26,0.0,3.89,0.71,0.16,0.0,6862199
581,Indiana,2023-07-08,18.24,16.45,0.16,3.83,0.54,0.71,0.19,0.93,0.34,0.45,0.16,3.99,0.99,0.15,0.0,6862199
582,Indiana,2023-07-15,17.31,15.59,0.19,4.18,0.48,0.57,0.17,1.03,0.26,0.32,0.22,3.26,0.87,0.0,0.0,6862199
583,Indiana,2023-07-22,17.62,16.23,0.23,3.82,0.68,0.54,0.0,0.99,0.32,0.32,0.0,3.83,0.85,0.15,0.0,6862199
584,Indiana,2023-07-29,18.3,16.86,0.22,4.05,0.48,0.58,0.19,1.14,0.26,0.61,0.15,4.01,0.99,0.17,0.0,6862199
585,Indiana,2023-08-05,17.71,16.18,0.22,3.72,0.76,0.45,0.26,0.95,0.26,0.42,0.19,3.76,0.96,0.15,0.0,6862199
586,Indiana,2023-08-12,17.08,16.1,0.19,4.3,0.76,0.36,0.22,0.99,0.29,0.39,0.15,3.61,0.87,0.16,0.0,6862199
587,Indiana,2023-08-19,17.37,16.25,0.2,3.72,0.63,0.73,0.16,1.21,0.39,0.35,0.23,3.47,0.96,0.22,0.17,6862199
588,Indiana,2023-08-26,17.3,16.79,0.17,4.23,0.79,0.74,0.25,1.3,0.32,0.39,0.29,3.69,0.85,0.23,0.22,6862199
589,Indiana,2023-09-02,15.42,15.02,0.2,3.31,0.52,0.7,0.0,1.05,0.47,0.35,0.28,3.35,0.82,0.29,0.23,6862199
590,Indiana,2023-09-09,13.9,13.89,0.0,3.54,0.52,0.54,0.2,1.06,0.25,0.42,0.0,3.1,0.67,0.42,0.32,6862199
591,Indiana,2023-09-16,10.61,10.61,0.15,2.33,0.35,0.52,0.15,0.87,0.2,0.17,0.16,2.38,0.54,0.35,0.23,6862199
592,Iowa,2023-01-07,23.14,21.92,0.0,4.68,0.9,0.78,0.78,1.34,0.41,0.34,0.47,5.27,0.9,0.9,0.56,3207004
593,Iowa,2023-01-14,21.27,19.27,0.0,3.74,0.41,0.78,0.65,0.75,0.37,0.31,0.0,4.68,1.06,0.97,0.47,3207004
594,Iowa,2023-01-21,21.02,19.71,0.0,3.9,0.5,0.84,0.34,1.06,0.31,0.0,0.0,5.52,0.97,0.75,0.44,3207004
595,Iowa,2023-01-28,20.77,19.43,0.0,4.21,0.69,0.78,0.31,1.09,0.47,0.31,0.0,4.93,1.0,0.69,0.37,3207004
596,Iowa,2023-02-04,19.58,18.27,0.0,3.84,0.94,1.0,0.34,0.81,0.44,0.0,0.34,4.46,0.94,0.72,0.5,3207004
597,Iowa,2023-02-11,21.36,19.55,0.0,3.99,0.59,1.15,0.31,0.94,0.0,0.0,0.0,5.71,1.0,0.59,0.37,3207004
598,Iowa,2023-02-18,21.05,19.52,0.0,4.18,0.5,1.12,0.0,1.22,0.0,0.56,0.0,5.14,0.87,0.97,0.75,3207004
599,Iowa,2023-02-25,19.08,17.9,0.0,3.4,0.53,0.78,0.37,1.06,0.31,0.0,0.0,5.33,0.62,0.53,0.0,3207004
600,Iowa,2023-03-04,19.55,17.99,0.34,3.84,0.5,0.87,0.31,1.09,0.0,0.0,0.34,4.3,0.9,0.69,0.53,3207004
601,Iowa,2023-03-11,20.33,18.68,0.0,3.8,0.44,0.87,0.44,1.03,0.34,0.0,0.34,4.58,0.9,0.53,0.0,3207004
602,Iowa,2023-03-18,19.11,17.62,0.0,3.9,0.62,0.9,0.0,0.84,0.0,0.47,0.0,4.4,0.56,0.97,0.72,3207004
603,Iowa,2023-03-25,19.36,17.87,0.0,3.9,0.44,0.84,0.0,1.09,0.37,0.0,0.0,4.99,0.65,0.65,0.44,3207004
604,Iowa,2023-04-01,20.89,19.36,0.34,3.87,0.59,1.43,0.0,1.22,0.0,0.34,0.0,4.96,0.84,0.37,0.0,3207004
605,Iowa,2023-04-08,20.02,18.27,0.0,3.99,0.37,0.72,0.0,1.34,0.0,0.0,0.0,4.77,1.12,0.81,0.56,3207004
606,Iowa,2023-04-15,20.42,18.93,0.41,3.84,0.56,0.87,0.34,1.22,0.0,0.41,0.0,5.11,0.75,0.59,0.34,3207004
607,Iowa,2023-04-22,17.27,16.15,0.0,3.12,0.59,0.97,0.0,1.09,0.31,0.0,0.0,4.46,0.47,0.59,0.31,3207004
608,Iowa,2023-04-29,18.68,17.27,0.0,4.21,0.31,0.87,0.34,0.78,0.31,0.37,0.0,4.3,1.15,0.31,0.0,3207004
609,Iowa,2023-05-06,18.77,17.68,0.31,4.08,0.78,0.72,0.0,1.34,0.31,0.0,0.34,4.55,0.65,0.0,0.0,3207004
610,Iowa,2023-05-13,18.49,16.9,0.0,3.84,0.41,0.81,0.0,1.03,0.37,0.41,0.0,4.46,0.65,0.0,0.0,3207004
611,Iowa,2023-05-20,18.9,17.46,0.34,3.71,0.41,0.5,0.0,0.5,0.47,0.56,0.0,4.4,0.59,0.44,0.0,3207004
612,Iowa,2023-05-27,18.24,16.68,0.0,3.65,0.41,0.69,0.0,0.94,0.34,0.34,0.0,4.27,0.78,0.0,0.0,3207004
613,Iowa,2023-06-03,18.49,16.96,0.0,3.59,0.53,0.53,0.0,0.9,0.31,0.0,0.31,4.96,0.78,0.0,0.0,3207004
614,Iowa,2023-06-10,18.93,17.09,0.0,3.52,0.75,0.69,0.0,1.18,0.47,0.31,0.0,4.27,0.78,0.0,0.0,3207004
615,Iowa,2023-06-17,17.21,15.84,0.0,3.84,0.53,0.69,0.0,0.75,0.0,0.41,0.0,3.8,0.65,0.0,0.0,3207004
616,Iowa,2023-06-24,18.37,16.93,0.0,4.05,0.47,0.81,0.0,1.22,0.0,0.31,0.0,4.46,0.87,0.0,0.0,3207004
617,Iowa,2023-07-01,17.77,16.18,0.0,3.68,0.59,0.5,0.0,1.0,0.34,0.0,0.37,3.74,0.87,0.0,0.0,3207004
618,Iowa,2023-07-08,17.74,16.5,0.0,3.74,0.62,0.84,0.0,0.56,0.0,0.0,0.0,4.71,0.78,0.0,0.0,3207004
619,Iowa,2023-07-15,17.18,15.81,0.34,3.31,0.44,0.62,0.0,0.78,0.0,0.0,0.34,4.3,0.69,0.0,0.0,3207004
620,Iowa,2023-07-22,16.06,14.94,0.0,3.46,0.5,0.75,0.0,1.28,0.0,0.31,0.0,3.65,0.69,0.0,0.0,3207004
621,Iowa,2023-07-29,18.96,17.59,0.0,4.46,0.62,0.59,0.0,0.87,0.37,0.44,0.0,4.12,0.75,0.0,0.0,3207004
622,Iowa,2023-08-05,15.87,14.66,0.0,3.31,0.41,0.65,0.0,1.09,0.0,0.0,0.0,3.84,0.84,0.0,0.0,3207004
623,Iowa,2023-08-12,18.65,17.52,0.0,4.43,0.37,1.18,0.0,0.78,0.0,0.0,0.0,4.02,1.03,0.0,0.0,3207004
624,Iowa,2023-08-19,17.46,16.18,0.0,3.65,0.72,0.81,0.0,0.81,0.0,0.0,0.0,4.93,0.56,0.0,0.0,3207004
625,Iowa,2023-08-26,16.09,15.06,0.0,3.34,0.69,0.81,0.0,0.9,0.31,0.0,0.0,3.31,0.81,0.0,0.0,3207004
626,Iowa,2023-09-02,16.4,15.65,0.0,3.21,0.72,0.81,0.0,0.62,0.0,0.0,0.0,4.3,0.78,0.0,0.0,3207004
627,Iowa,2023-09-09,13.78,13.56,0.0,2.78,0.53,0.87,0.0,0.62,0.0,0.0,0.0,3.77,0.59,0.0,0.0,3207004
628,Iowa,2023-09-16,12.41,12.38,0.0,2.87,0.5,0.56,0.0,0.84,0.0,0.0,0.0,2.84,0.56,0.0,0.0,3207004
629,Kansas,2023-01-07,22.34,20.51,0.41,3.5,0.82,0.54,0.82,1.16,0.0,0.34,0.0,5.41,0.75,1.53,1.12,2940546
630,Kansas,2023-01-14,22.38,20.27,0.0,3.74,0.51,0.61,0.41,1.39,0.0,0.0,0.0,4.93,1.29,0.99,0.65,2940546
631,Kansas,2023-01-21,17.96,16.46,0.0,3.3,0.78,0.61,0.48,1.16,0.51,0.37,0.0,3.67,0.61,0.68,0.58,2940546
632,Kansas,2023-01-28,20.74,18.5,0.37,4.01,0.61,0.85,0.41,1.36,0.37,0.0,0.0,3.54,0.71,0.99,0.68,2940546
633,Kansas,2023-02-04,19.76,18.06,0.0,3.88,0.61,0.51,0.0,1.02,0.0,0.51,0.0,4.45,0.99,0.44,0.0,2940546
634,Kansas,2023-02-11,19.55,18.23,0.0,3.33,0.92,1.02,0.0,1.36,0.0,0.37,0.0,3.6,0.54,0.58,0.0,2940546
635,Kansas,2023-02-18,20.17,18.84,0.0,3.67,0.51,0.37,0.0,1.29,0.34,0.0,0.0,4.8,0.99,0.51,0.0,2940546
636,Kansas,2023-02-25,19.08,17.48,0.0,3.4,0.78,0.75,0.0,0.75,0.0,0.0,0.0,4.28,0.88,0.61,0.44,2940546
637,Kansas,2023-03-04,19.79,18.53,0.0,3.64,0.58,0.82,0.0,1.09,0.0,0.0,0.0,4.35,0.82,0.71,0.61,2940546
638,Kansas,2023-03-11,18.7,16.8,0.0,3.71,0.58,0.85,0.0,1.09,0.0,0.0,0.0,3.67,0.82,1.02,0.82,2940546
639,Kansas,2023-03-18,20.71,18.84,0.0,4.35,0.61,0.0,0.0,1.26,0.0,0.0,0.0,4.01,1.05,0.61,0.41,2940546
640,Kansas,2023-03-25,19.79,18.13,0.0,3.37,0.44,0.61,0.48,1.16,0.41,0.44,0.0,4.22,0.82,0.75,0.51,2940546
641,Kansas,2023-04-01,20.71,19.11,0.0,3.64,0.68,0.71,0.0,1.12,0.0,0.54,0.37,4.66,0.95,0.0,0.0,2940546
642,Kansas,2023-04-08,19.08,17.28,0.0,2.82,0.58,0.41,0.37,1.09,0.0,0.48,0.0,4.39,1.05,0.54,0.34,2940546
643,Kansas,2023-04-15,19.49,17.68,0.0,2.89,0.78,0.65,0.0,1.26,0.34,0.0,0.34,4.22,0.88,0.0,0.0,2940546
644,Kansas,2023-04-22,20.64,19.38,0.0,3.57,0.78,0.58,0.0,1.56,0.51,0.0,0.34,4.39,1.26,0.44,0.0,2940546
645,Kansas,2023-04-29,18.23,16.32,0.0,4.01,0.51,0.65,0.0,1.12,0.41,0.0,0.0,3.81,0.37,0.0,0.0,2940546
646,Kansas,2023-05-06,17.99,16.39,0.0,3.43,0.61,0.41,0.34,0.61,0.44,0.37,0.37,4.05,1.02,0.48,0.0,2940546
647,Kansas,2023-05-13,16.94,15.58,0.0,3.37,0.58,0.58,0.0,1.22,0.0,0.0,0.37,3.54,0.78,0.0,0.0,2940546
648,Kansas,2023-05-20,17.41,16.02,0.0,3.64,0.41,0.34,0.0,0.82,0.0,0.48,0.0,4.15,0.82,0.0,0.0,2940546
649,Kansas,2023-05-27,16.56,14.59,0.0,3.47,0.44,0.34,0.0,0.78,0.0,0.34,0.0,4.05,0.82,0.0,0.0,2940546
650,Kansas,2023-06-03,18.33,16.66,0.0,3.43,0.54,0.41,0.37,0.85,0.0,0.61,0.0,4.45,0.0,0.0,0.0,2940546
651,Kansas,2023-06-10,17.55,16.09,0.0,3.3,0.68,0.54,0.0,1.16,0.34,0.34,0.34,3.94,0.92,0.0,0.0,2940546
652,Kansas,2023-06-17,17.65,15.88,0.0,3.57,0.65,0.68,0.0,0.68,0.0,0.0,0.58,3.5,0.92,0.0,0.0,2940546
653,Kansas,2023-06-24,16.87,15.44,0.0,2.99,0.65,0.34,0.0,0.85,0.0,0.51,0.54,3.47,0.75,0.0,0.0,2940546
654,Kansas,2023-07-01,16.77,15.44,0.0,4.32,0.34,0.51,0.0,0.99,0.0,0.0,0.68,3.2,0.65,0.0,0.0,2940546
655,Kansas,2023-07-08,16.09,14.52,0.0,3.03,0.68,0.0,0.0,0.71,0.0,0.34,0.68,3.4,0.65,0.0,0.0,2940546
656,Kansas,2023-07-15,17.38,16.05,0.0,3.77,0.51,0.41,0.0,0.61,0.41,0.0,0.92,3.57,0.92,0.0,0.0,2940546
657,Kansas,2023-07-22,15.37,14.18,0.0,2.86,0.58,0.51,0.0,0.54,0.0,0.44,0.65,3.23,0.51,0.0,0.0,2940546
658,Kansas,2023-07-29,16.66,15.27,0.0,3.33,0.51,0.44,0.0,0.68,0.0,0.41,0.61,3.33,0.75,0.0,0.0,2940546
659,Kansas,2023-08-05,16.83,15.85,0.0,3.64,0.58,0.44,0.0,0.88,0.0,0.0,0.85,3.16,0.95,0.0,0.0,2940546
660,Kansas,2023-08-12,16.97,15.88,0.0,3.4,0.44,0.37,0.0,1.09,0.44,0.41,1.05,3.2,0.92,0.0,0.0,2940546
661,Kansas,2023-08-19,17.24,16.29,0.0,3.37,0.61,0.44,0.0,0.68,0.0,0.44,1.09,3.57,0.95,0.0,0.0,2940546
662,Kansas,2023-08-26,17.24,16.39,0.34,3.33,0.48,0.37,0.0,0.78,0.37,0.0,1.67,2.99,0.65,0.0,0.0,2940546
663,Kansas,2023-09-02,16.8,16.09,0.34,3.3,0.0,0.48,0.0,0.85,0.0,0.0,1.36,3.43,0.61,0.0,0.0,2940546
664,Kansas,2023-09-09,15.68,15.27,0.0,2.96,0.58,0.54,0.0,0.75,0.0,0.0,1.36,3.16,0.65,0.0,0.0,2940546
665,Kansas,2023-09-16,13.74,13.7,0.0,3.06,0.44,0.44,0.0,0.88,0.0,0.0,1.46,2.48,0.54,0.0,0.0,2940546
666,Kentucky,2023-01-07,25.12,22.82,0.51,3.89,0.95,0.53,0.64,1.7,0.55,0.6,0.42,5.08,1.15,1.81,1.1,4526154
667,Kentucky,2023-01-14,27.13,24.94,0.53,5.13,0.84,0.6,0.64,1.97,0.57,0.57,0.27,5.59,1.06,1.79,1.1,4526154
668,Kentucky,2023-01-21,23.86,21.72,0.64,4.33,0.71,0.64,0.33,1.57,0.22,0.6,0.0,4.93,0.88,1.46,0.8,4526154
669,Kentucky,2023-01-28,24.33,22.01,0.6,4.9,0.84,0.49,0.31,1.5,0.33,0.68,0.27,4.66,0.84,1.39,0.95,4526154
670,Kentucky,2023-02-04,22.6,20.57,0.44,4.57,0.57,0.62,0.33,1.44,0.27,0.44,0.35,4.49,0.8,1.66,1.06,4526154
671,Kentucky,2023-02-11,25.43,23.04,0.6,5.06,0.91,0.88,0.4,1.88,0.51,0.51,0.29,4.93,0.93,1.3,0.68,4526154
672,Kentucky,2023-02-18,24.57,22.56,0.66,5.37,0.88,0.66,0.27,1.63,0.42,0.57,0.24,4.84,1.13,1.22,0.57,4526154
673,Kentucky,2023-02-25,23.6,21.21,0.31,4.88,0.75,0.55,0.0,1.5,0.44,0.33,0.29,5.52,0.95,1.17,0.68,4526154
674,Kentucky,2023-03-04,23.22,20.66,0.27,4.33,0.84,0.55,0.29,2.05,0.4,0.4,0.4,4.57,0.93,1.22,0.75,4526154
675,Kentucky,2023-03-11,22.29,19.99,0.33,3.8,0.68,0.62,0.29,1.5,0.31,0.49,0.35,4.4,0.97,0.97,0.62,4526154
676,Kentucky,2023-03-18,22.58,20.37,0.73,4.55,0.42,0.71,0.31,1.41,0.33,0.68,0.27,4.51,1.06,0.77,0.35,4526154
677,Kentucky,2023-03-25,24.46,22.36,0.4,5.1,0.8,0.75,0.53,1.5,0.27,0.84,0.38,5.02,1.02,1.06,0.64,4526154
678,Kentucky,2023-04-01,23.29,21.14,0.4,4.49,0.84,0.64,0.46,1.44,0.24,0.6,0.29,4.84,0.93,0.73,0.46,4526154
679,Kentucky,2023-04-08,21.59,19.07,0.29,4.24,0.75,0.64,0.0,1.37,0.35,0.35,0.31,4.68,0.84,0.64,0.4,4526154
680,Kentucky,2023-04-15,22.93,20.3,0.49,4.68,0.84,0.42,0.22,1.63,0.44,0.55,0.27,4.82,1.17,0.71,0.27,4526154
681,Kentucky,2023-04-22,22.14,19.91,0.33,5.17,0.64,0.53,0.27,1.37,0.53,0.51,0.22,4.55,0.93,0.62,0.35,4526154
682,Kentucky,2023-04-29,21.14,18.96,0.4,4.18,0.75,0.51,0.4,1.22,0.31,0.51,0.24,4.22,0.97,0.68,0.31,4526154
683,Kentucky,2023-05-06,21.78,19.66,0.44,4.13,0.57,0.68,0.29,1.41,0.31,0.66,0.35,4.49,0.95,0.68,0.29,4526154
684,Kentucky,2023-05-13,21.52,19.11,0.38,4.18,0.86,0.71,0.33,1.46,0.35,0.64,0.27,4.29,0.97,0.49,0.0,4526154
685,Kentucky,2023-05-20,21.25,19.04,0.44,4.49,0.53,0.6,0.22,1.15,0.46,0.46,0.38,4.46,0.86,0.4,0.0,4526154
