Jurisdiction of Occurrence,Week Ending Date,Week Ending Date,All Cause,Natural Cause,Septicemia,Malignant neoplasms,Diabetes mellitus,Alzheimer disease,Influenza and pneumonia,Chronic lower respiratory diseases,Other diseases of respiratory system,"Nephritis, nephrotic syndrome and nephrosis","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",Diseases of heart,Cerebrovascular diseases,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death),Population
Connecticut,2023,7,81.92,75.34,0.69,18.51,1.69,2.21,0.69,3.1,1.0,1.93,2.84,16.009999999999998,3.4299999999999997,0.0,0.0,18085880
Connecticut,2023,8,63.15,61.35,0.28,13.57,1.03,1.79,0.0,2.0700000000000003,1.58,1.27,4.66,11.73,4.12,0.3,0.0,14468704
Connecticut,2023,9,41.28,41.28,0.3,9.7,0.3,1.38,0.64,1.51,0.78,1.02,3.34,7.27,1.6400000000000001,0.77,0.3,10851528
Delaware,2023,1,88.09,78.78,0.0,16.849999999999998,0.0,1.26,0.0,2.71,0.0,0.0,0.0,18.41,7.17,5.33,0.0,4127560
Delaware,2023,2,86.05,77.53,0.0,16.38,2.23,0.0,0.0,2.71,0.0,0.0,0.0,18.7,7.46,4.08,0.0,4127560
Delaware,2023,3,85.38,76.36,0.0,17.44,0.0,0.97,0.0,0.0,0.0,0.0,0.0,18.79,6.29,2.13,0.0,4127560
Delaware,2023,4,103.6,92.35,0.0,21.81,0.0,0.0,0.0,0.97,0.0,0.0,0.0,22.97,9.01,0.0,0.0,5159450
Delaware,2023,5,73.64999999999999,65.61,0.0,17.44,0.97,0.0,0.0,0.0,0.0,0.0,0.0,15.69,6.4,0.0,0.0,4127560
Delaware,2023,6,73.85,68.61,0.0,15.88,0.0,2.33,0.0,2.23,0.0,0.0,0.0,15.5,8.129999999999999,0.0,0.0,4127560
Delaware,2023,7,94.78999999999999,89.26,0.0,22.2,0.0,0.0,0.0,2.42,0.0,0.0,4.35,19.77,8.71,0.0,0.0,5159450
Delaware,2023,8,66.59,63.87,0.0,14.34,0.0,0.0,0.0,1.07,0.0,0.0,3.7800000000000002,14.64,5.44,0.0,0.0,4127560
Delaware,2023,9,38.48,37.99,0.0,9.2,0.97,0.0,0.0,0.0,0.0,0.0,0.0,7.95,4.17,0.0,0.0,3095670
District of Columbia,2023,1,77.62,65.1,0.0,13.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.64,0.0,0.0,0.0,2715888
District of Columbia,2023,2,75.4,61.42,0.0,13.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.79,0.0,0.0,0.0,2715888
District of Columbia,2023,3,74.23,57.44,0.0,11.790000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.47,0.0,0.0,0.0,2715888
District of Columbia,2023,4,87.03999999999999,70.55,0.0,14.440000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.439999999999998,0.0,0.0,0.0,3394860
District of Columbia,2023,5,78.2,64.51,0.0,14.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.23,0.0,0.0,0.0,2715888
District of Columbia,2023,6,67.3,56.260000000000005,0.0,12.809999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.47,14.73,0.0,0.0,0.0,2715888
District of Columbia,2023,7,82.62,73.2,0.0,17.23,0.0,0.0,0.0,0.0,0.0,0.0,12.23,12.809999999999999,1.91,0.0,0.0,3394860
District of Columbia,2023,8,68.49,62.3,0.0,13.85,0.0,0.0,0.0,0.0,0.0,0.0,8.98,12.37,1.62,0.0,0.0,2715888
District of Columbia,2023,9,29.9,29.310000000000002,0.0,7.0600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,1.77,2.21,0.0,0.0,0.0,2036916
